дата;объём_операций_млн_руб;число_операций
2023-07-01;55,5;1347
2023-07-02;35,7;835
2023-07-03;121,8;2817
2023-07-04;128,5;2990
2023-07-05;133,1;3221
2023-07-06;123,8;3004
2023-07-07;124,5;2977
2023-07-08;65,8;1546
2023-07-09;41,0;964
2023-07-10;121,8;2892
2023-07-11;134,4;3250
2023-07-12;121,9;2916
2023-07-13;124,7;2902
2023-07-14;120,2;2815
2023-07-15;63,2;1461
2023-07-16;40,7;957
2023-07-17;133,6;3117
2023-07-18;130,8;3108
2023-07-19;121,1;2847
2023-07-20;127,8;3106
2023-07-21;116,4;2733
2023-07-22;64,4;1493
2023-07-23;38,4;937
2023-07-24;123,2;2943
2023-07-25;128,5;2972
2023-07-26;127,1;3029
2023-07-27;119,5;2777
2023-07-28;122,4;2895
2023-07-29;77,8;1872
2023-07-30;52,6;1284
2023-07-31;150,4;3620
2023-08-01;107,1;2516
2023-08-02;106,5;2528
2023-08-03;111,7;2662
2023-08-04;106,5;2460
2023-08-05;57,0;1388
2023-08-06;36,0;863
2023-08-07;116,8;2821
2023-08-08;124,5;3018
2023-08-09;118,7;2857
2023-08-10;116,6;2857
2023-08-11;110,4;2597
2023-08-12;56,5;1312
2023-08-13;39,6;959
2023-08-14;113,4;2715
2023-08-15;120,7;2826
2023-08-16;124,6;2952
2023-08-17;113,4;2732
2023-08-18;108,5;2529
2023-08-19;58,7;1371
2023-08-20;37,3;907
2023-08-21;107,8;2570
2023-08-22;121,3;2937
2023-08-23;121,5;2896
2023-08-24;121,3;2943
2023-08-25;111,4;2591
2023-08-26;59,9;1447
2023-08-27;37,8;902
2023-08-28;123,4;3003
2023-08-29;157,1;3761
2023-08-30;139,0;3377
2023-08-31;147,7;3547
2023-09-01;104,4;2498
2023-09-02;56,0;1325
2023-09-03;42,3;979
2023-09-04;115,5;2692
2023-09-05;131,5;3062
2023-09-06;133,5;3114
2023-09-07;128,1;3040
2023-09-08;117,7;2728
2023-09-09;63,2;1533
2023-09-10;40,0;962
2023-09-11;125,7;2949
2023-09-12;131,4;3146
2023-09-13;127,4;3082
2023-09-14;119,7;2934
2023-09-15;123,6;2912
2023-09-16;62,2;1476
2023-09-17;39,5;948
2023-09-18;126,9;2931
2023-09-19;132,5;3172
2023-09-20;122,0;2889
2023-09-21;125,3;2917
2023-09-22;123,4;3025
2023-09-23;58,9;1426
2023-09-24;38,4;932
2023-09-25;123,5;2924
2023-09-26;128,2;3017
2023-09-27;131,8;3131
2023-09-28;163,6;3886
2023-09-29;148,2;3512
2023-09-30;76,9;1828
2023-10-01;34,7;848
2023-10-02;113,9;2741
2023-10-03;135,9;3193
2023-10-04;128,1;2965
2023-10-05;124,7;2964
2023-10-06;121,3;2880
2023-10-07;63,9;1547
2023-10-08;41,1;996
2023-10-09;127,5;3092
2023-10-10;136,5;3216
2023-10-11;128,7;3149
2023-10-12;129,2;3052
2023-10-13;126,8;3069
2023-10-14;63,2;1503
2023-10-15;40,6;949
2023-10-16;129,8;3102
2023-10-17;129,9;3100
2023-10-18;128,7;3116
2023-10-19;128,5;2982
2023-10-20;126,3;3061
2023-10-21;65,8;1568
2023-10-22;40,9;987
2023-10-23;128,3;3088
2023-10-24;134,1;3117
2023-10-25;130,9;3166
2023-10-26;136,5;3293
2023-10-27;125,5;2983
2023-10-28;67,3;1585
2023-10-29;49,2;1192
2023-10-30;161,9;3836
2023-10-31;159,9;3867
2023-11-01;122,5;2981
2023-11-02;114,3;2751
2023-11-03;127,4;3108
2023-11-04;66,6;1552
2023-11-05;41,7;1007
2023-11-06;125,2;2902
2023-11-07;133,9;3213
2023-11-08;131,5;3189
2023-11-09;133,7;3206
2023-11-10;121,6;2947
2023-11-11;69,1;1669
2023-11-12;41,3;962
2023-11-13;142,7;3319
2023-11-14;139,3;3333
2023-11-15;127,9;3067
2023-11-16;129,7;3039
2023-11-17;121,2;2872
2023-11-18;62,9;1530
2023-11-19;42,6;1025
2023-11-20;134,4;3146
2023-11-21;135,7;3301
2023-11-22;132,1;3146
2023-11-23;137,7;3362
2023-11-24;128,1;3135
2023-11-25;71,5;1694
2023-11-26;40,8;953
2023-11-27;131,5;3201
2023-11-28;169,8;4138
2023-11-29;170,6;4161
2023-11-30;168,0;3949
2023-12-01;126,1;2925
2023-12-02;66,7;1616
2023-12-03;46,6;1127
2023-12-04;151,3;3680
2023-12-05;154,1;3649
2023-12-06;150,5;3543
2023-12-07;146,0;3400
2023-12-08;144,5;3404
2023-12-09;72,5;1718
2023-12-10;49,3;1159
2023-12-11;155,8;3760
2023-12-12;155,9;3677
2023-12-13;152,2;3665
2023-12-14;151,7;3611
2023-12-15;144,8;3527
2023-12-16;79,7;1918
2023-12-17;48,7;1146
2023-12-18;145,1;3428
2023-12-19;156,7;3804
2023-12-20;149,6;3521
